time,mean,min,max,source,climatology,anomaly
1940-07-05 00:00:00+00:00,15.59,11.48,19.02,ERA5,17.63,-2.05
1940-07-06 00:00:00+00:00,18.65,13.42,22.55,ERA5,17.7,0.95
1940-07-07 00:00:00+00:00,16.88,14.28,19.43,ERA5,17.76,-0.88
1940-07-08 00:00:00+00:00,15.3,11.55,18.15,ERA5,17.81,-2.51
1940-07-09 00:00:00+00:00,17.47,10.58,23.12,ERA5,17.85,-0.39
1940-07-10 00:00:00+00:00,19.84,13.79,24.42,ERA5,17.9,1.94
1940-07-11 00:00:00+00:00,17.25,12.44,20.1,ERA5,17.94,-0.69
1940-07-12 00:00:00+00:00,14.99,11.74,18.16,ERA5,17.98,-2.99
1940-07-13 00:00:00+00:00,15.42,12.42,19.49,ERA5,18.03,-2.61
1940-07-14 00:00:00+00:00,17.44,14.02,22.0,ERA5,18.07,-0.63
1940-07-15 00:00:00+00:00,17.96,15.2,21.6,ERA5,18.1,-0.14
1940-07-16 00:00:00+00:00,16.24,13.85,19.82,ERA5,18.14,-1.9
1940-07-17 00:00:00+00:00,15.0,11.82,17.28,ERA5,18.18,-3.17
1940-07-18 00:00:00+00:00,14.48,11.26,17.35,ERA5,18.2,-3.72
1940-07-19 00:00:00+00:00,16.62,12.9,19.48,ERA5,18.22,-1.6
1940-07-20 00:00:00+00:00,16.93,13.82,20.57,ERA5,18.25,-1.32
1940-07-21 00:00:00+00:00,15.31,13.29,17.92,ERA5,18.27,-2.96
1940-07-22 00:00:00+00:00,16.02,11.97,20.36,ERA5,18.3,-2.28
1940-07-23 00:00:00+00:00,14.84,10.62,18.03,ERA5,18.33,-3.49
1940-07-24 00:00:00+00:00,16.15,14.04,19.02,ERA5,18.35,-2.2
1940-07-25 00:00:00+00:00,17.1,14.67,20.51,ERA5,18.36,-1.26
1940-07-26 00:00:00+00:00,15.07,12.52,18.42,ERA5,18.37,-3.3
1940-07-27 00:00:00+00:00,14.23,10.76,17.9,ERA5,18.37,-4.14
1940-07-28 00:00:00+00:00,14.01,9.93,18.09,ERA5,18.36,-4.36
1940-07-29 00:00:00+00:00,15.05,11.03,19.84,ERA5,18.34,-3.29
1940-07-30 00:00:00+00:00,15.37,12.93,18.46,ERA5,18.31,-2.94
1940-07-31 00:00:00+00:00,16.7,13.1,20.59,ERA5,18.28,-1.58
1940-08-01 00:00:00+00:00,15.52,12.23,19.12,ERA5,18.25,-2.73
1940-08-02 00:00:00+00:00,17.42,12.71,22.21,ERA5,18.21,-0.78
1940-08-03 00:00:00+00:00,19.09,13.71,24.81,ERA5,18.17,0.92
1940-08-04 00:00:00+00:00,20.7,12.71,27.47,ERA5,18.13,2.57
1940-08-05 00:00:00+00:00,21.54,16.12,27.3,ERA5,18.11,3.44
1940-08-06 00:00:00+00:00,19.0,13.93,23.6,ERA5,18.09,0.91
1940-08-07 00:00:00+00:00,17.92,14.9,21.09,ERA5,18.06,-0.15
1940-08-08 00:00:00+00:00,18.18,14.5,22.37,ERA5,18.04,0.14
1940-08-09 00:00:00+00:00,18.36,13.57,23.28,ERA5,18.01,0.35
1940-08-10 00:00:00+00:00,17.88,12.27,22.99,ERA5,17.98,-0.11
1940-08-11 00:00:00+00:00,15.69,11.99,19.27,ERA5,17.95,-2.27
1940-08-12 00:00:00+00:00,14.23,9.66,18.38,ERA5,17.93,-3.7
1940-08-13 00:00:00+00:00,13.93,8.8,18.61,ERA5,17.9,-3.97
1940-08-14 00:00:00+00:00,15.77,10.43,18.74,ERA5,17.86,-2.09
1940-08-15 00:00:00+00:00,16.66,11.76,20.48,ERA5,17.81,-1.14
1940-08-16 00:00:00+00:00,15.8,11.54,20.12,ERA5,17.75,-1.95
